"","town.of.residence","town_type","admissions","pop","overdose.deaths","per_capita_a","per_capita_o","pharm","couns","drop.offs","per_capita_p","per_capita_c","per_capita_d"
"1","Andover","Mixed",48,3095,2,15.51,0.65,NA,NA,NA,NA,NA,NA
"2","Ansonia","Urban",756,19163,6,39.45,0.31,4,4,1,2.09,2.09,0.52
"3","Ashford","Rural",126,4301,0,29.3,0,NA,4,NA,NA,9.3,NA
"4","Avon","Mixed",76,18205,1,4.17,0.05,1,4,NA,0.55,2.2,NA
"5","Barkhamsted","Mixed",113,3772,0,29.96,0,NA,3,NA,NA,7.95,NA
"6","Beacon Falls","Mixed",214,6038,0,35.44,0,1,NA,NA,1.66,NA,NA
"7","Berlin","Mixed",459,20179,5,22.75,0.25,4,1,NA,1.98,0.5,NA
"8","Bethany","Mixed",130,5555,0,23.4,0,NA,4,1,NA,7.2,1.8
"9","Bethel","Mixed",503,18887,6,26.63,0.32,4,6,1,2.12,3.18,0.53
"10","Bethlehem","Rural",98,3585,0,27.34,0,1,2,NA,2.79,5.58,NA
"11","Bloomfield","Mixed",198,20562,0,9.63,0,3,9,1,1.46,4.38,0.49
"12","Bolton","Mixed",87,4971,1,17.5,0.2,NA,4,NA,NA,8.05,NA
"13","Bozrah","Mixed",82,2618,0,31.32,0,NA,NA,NA,NA,NA,NA
"14","Branford","Mixed",1074,28025,4,38.32,0.14,3,9,NA,1.07,3.21,NA
"15","Bridgeport","Mixed",8773,145587,21,60.26,0.14,9,13,1,0.62,0.89,0.07
"16","Bridgewater","Rural",27,1729,0,15.62,0,NA,2,NA,NA,11.57,NA
"17","Bristol","Mixed",3170,60536,15,52.37,0.25,5,7,NA,0.83,1.16,NA
"18","Brookfield","Mixed",439,16614,2,26.42,0.12,2,2,1,1.2,1.2,0.6
"19","Brooklyn","Mixed",271,8220,1,32.97,0.12,1,1,NA,1.22,1.22,NA
"20","Burlington","Mixed",192,9384,1,20.46,0.11,1,1,NA,1.07,1.07,NA
"21","Canaan","Rural",158,1148,1,137.63,0.87,1,2,NA,8.71,17.42,NA
"22","Canterbury","Mixed",181,5119,0,35.36,0,1,NA,NA,1.95,NA,NA
"23","Canton","Mixed",91,10304,2,8.83,0.19,NA,2,1,NA,1.94,0.97
"24","Chaplin","Mixed",114,2408,0,47.34,0,NA,1,NA,NA,4.15,NA
"25","Cheshire","Mixed",347,29264,1,11.86,0.03,5,2,1,1.71,0.68,0.34
"26","Chester","Mixed",45,4154,1,10.83,0.24,NA,1,NA,NA,2.41,NA
"27","Clinton","Mixed",318,13239,5,24.02,0.38,2,4,1,1.51,3.02,0.76
"28","Colchester","Mixed",710,16119,1,44.05,0.06,2,7,2,1.24,4.34,1.24
"29","Colebrook","Rural",7,1523,0,4.6,0,NA,2,NA,NA,13.13,NA
"30","Columbia","Rural",101,5476,1,18.44,0.18,NA,2,NA,NA,3.65,NA
"31","Cornwall","Rural",0,1519,0,0,0,NA,2,NA,NA,13.17,NA
"32","Coventry","Mixed",301,12435,2,24.21,0.16,1,1,1,0.8,0.8,0.8
"33","Cromwell","Urban",309,14076,1,21.95,0.07,2,3,NA,1.42,2.13,NA
"34","Danbury","Mixed",2768,81967,13,33.77,0.16,8,15,NA,0.98,1.83,NA
"35","Darien","Mixed",87,20925,2,4.16,0.1,1,3,1,0.48,1.43,0.48
"36","Deep River","Mixed",129,4615,2,27.95,0.43,NA,2,NA,NA,4.33,NA
"37","Derby","Urban",493,12841,7,38.39,0.55,1,2,NA,0.78,1.56,NA
"38","Durham","Mixed",97,7380,1,13.14,0.14,NA,6,NA,NA,8.13,NA
"39","East Granby","Mixed",54,5036,0,10.72,0,NA,NA,NA,NA,NA,NA
"40","East Haddam","Mixed",184,9138,2,20.14,0.22,1,4,NA,1.09,4.38,NA
"41","East Hampton","Mixed",362,12949,3,27.96,0.23,2,5,NA,1.54,3.86,NA
"42","East Hartford","Urban",1429,51241,7,27.89,0.14,5,3,1,0.98,0.59,0.2
"43","East Haven","Mixed",2081,29167,6,71.35,0.21,5,4,NA,1.71,1.37,NA
"44","East Lyme","Mixed",557,19119,3,29.13,0.16,3,8,1,1.57,4.18,0.52
"45","East Windsor","Mixed",253,11281,2,22.43,0.18,2,4,NA,1.77,3.55,NA
"46","Eastford","Rural",17,1650,0,10.3,0,NA,NA,NA,NA,NA,NA
"47","Easton","Mixed",61,7550,0,8.08,0,NA,2,NA,NA,2.65,NA
"48","Ellington","Mixed",225,15675,1,14.35,0.06,1,1,1,0.64,0.64,0.64
"49","Enfield","Mixed",1408,44699,10,31.5,0.22,6,11,1,1.34,2.46,0.22
"50","Essex","Mixed",94,6668,4,14.1,0.6,2,2,NA,3,3,NA
"51","Fairfield","Mixed",629,60126,8,10.46,0.13,6,11,1,1,1.83,0.17
"52","Farmington","Mixed",268,25429,5,10.54,0.2,2,9,1,0.79,3.54,0.39
"53","Franklin","Mixed",39,1950,2,20,1.03,NA,2,NA,NA,10.26,NA
"54","Glastonbury","Mixed",382,34551,2,11.06,0.06,2,12,NA,0.58,3.47,NA
"55","Goshen","Rural",15,2953,0,5.08,0,NA,1,NA,NA,3.39,NA
"56","Granby","Mixed",105,11284,0,9.31,0,2,2,NA,1.77,1.77,NA
"57","Greenwich","Mixed",287,61733,2,4.65,0.03,8,6,1,1.3,0.97,0.16
"58","Griswold","Mixed",847,11959,3,70.83,0.25,2,1,NA,1.67,0.84,NA
"59","Groton","Mixed",860,40126,6,21.43,0.15,1,4,2,0.25,1,0.5
"60","Guilford","Mixed",427,22377,1,19.08,0.04,1,6,1,0.45,2.68,0.45
"61","Haddam","Mixed",105,8343,0,12.59,0,1,1,NA,1.2,1.2,NA
"62","Hamden","Mixed",1298,61468,11,21.12,0.18,3,17,NA,0.49,2.77,NA
"63","Hampton","Rural",103,1815,0,56.75,0,NA,NA,NA,NA,NA,NA
"64","Hartford","Urban",11740,125130,32,93.82,0.26,12,13,2,0.96,1.04,0.16
"65","Hartland","Rural",17,2257,1,7.53,0.44,NA,NA,NA,NA,NA,NA
"66","Harwinton","Mixed",124,5636,0,22,0,NA,3,NA,NA,5.32,NA
"67","Hebron","Mixed",154,9638,1,15.98,0.1,1,NA,NA,1.04,NA,NA
"68","Kent","Rural",93,2964,0,31.38,0,1,NA,NA,3.37,NA,NA
"69","Killingly","Mixed",942,17317,3,54.4,0.17,1,3,1,0.58,1.73,0.58
"70","Killingworth","Mixed",94,6501,0,14.46,0,NA,1,NA,NA,1.54,NA
"71","Lebanon","Mixed",382,7322,0,52.17,0,NA,1,NA,NA,1.37,NA
"72","Ledyard","Mixed",370,15051,2,24.58,0.13,1,2,2,0.66,1.33,1.33
"73","Lisbon","Mixed",6,4334,0,1.38,0,1,2,NA,2.31,4.61,NA
"74","Litchfield","Mixed",274,8406,1,32.6,0.12,2,2,1,2.38,2.38,1.19
"75","Lyme","Mixed",0,2417,0,0,0,NA,1,NA,NA,4.14,NA
"76","Madison","Mixed",210,18289,3,11.48,0.16,2,2,1,1.09,1.09,0.55
"77","Manchester","Mixed",1636,58196,5,28.11,0.09,8,15,1,1.37,2.58,0.17
"78","Mansfield","Mixed",299,26379,5,11.33,0.19,3,1,NA,1.14,0.38,NA
"79","Marlborough","Mixed",178,6398,3,27.82,0.47,NA,NA,NA,NA,NA,NA
"80","Meriden","Mixed",2333,60691,13,38.44,0.21,9,7,1,1.48,1.15,0.16
"81","Middlebury","Mixed",158,7550,3,20.93,0.4,NA,1,NA,NA,1.32,NA
"82","Middlefield","Mixed",97,4421,0,21.94,0,NA,NA,NA,NA,NA,NA
"83","Middletown","Mixed",1948,47539,12,40.98,0.25,4,22,NA,0.84,4.63,NA
"84","Milford","Mixed",1405,52894,12,26.56,0.23,7,11,NA,1.32,2.08,NA
"85","Monroe","Mixed",325,19631,0,16.56,0,4,5,NA,2.04,2.55,NA
"86","Montville","Mixed",728,19621,5,37.1,0.25,2,4,4,1.02,2.04,2.04
"87","Morris","Rural",55,2380,2,23.11,0.84,NA,1,NA,NA,4.2,NA
"88","Naugatuck","Mixed",1444,31786,9,45.43,0.28,3,6,1,0.94,1.89,0.31
"89","New Britain","Mixed",4193,73112,30,57.35,0.41,8,7,1,1.09,0.96,0.14
"90","New Canaan","Mixed",67,19938,1,3.36,0.05,3,5,1,1.5,2.51,0.5
"91","New Fairfield","Mixed",268,14010,5,19.13,0.36,1,3,NA,0.71,2.14,NA
"92","New Hartford","Mixed",163,6932,0,23.51,0,NA,3,NA,NA,4.33,NA
"93","New Haven","Urban",7713,130338,23,59.18,0.18,12,24,1,0.92,1.84,0.08
"94","New London","Mixed",2651,27588,16,96.09,0.58,6,2,1,2.17,0.72,0.36
"95","New Milford","Mixed",970,27983,6,34.66,0.21,2,7,1,0.71,2.5,0.36
"96","Newington","Urban",653,30606,1,21.34,0.03,3,11,1,0.98,3.59,0.33
"97","Newtown","Mixed",587,27772,6,21.14,0.22,1,10,1,0.36,3.6,0.36
"98","Norfolk","Rural",67,1497,0,44.76,0,NA,2,NA,NA,13.36,NA
"99","North Branford","Mixed",364,14383,3,25.31,0.21,2,5,NA,1.39,3.48,NA
"100","North Canaan","Rural",0,3286,4,0,1.22,NA,NA,1,NA,NA,3.04
"101","North Haven","Mixed",720,24011,6,29.99,0.25,4,4,NA,1.67,1.67,NA
"102","North Stonington","Rural",48,5291,1,9.07,0.19,NA,NA,NA,NA,NA,NA
"103","Norwalk","Mixed",1563,86499,4,18.07,0.05,11,17,1,1.27,1.97,0.12
"104","Norwich","Mixed",2464,40424,9,60.95,0.22,5,6,1,1.24,1.48,0.25
"105","Old Lyme","Mixed",138,7598,1,18.16,0.13,1,NA,NA,1.32,NA,NA
"106","Old Saybrook","Mixed",159,10258,2,15.5,0.19,3,1,NA,2.92,0.97,NA
"107","Orange","Urban",211,13934,1,15.14,0.07,1,1,NA,0.72,0.72,NA
"108","Oxford","Mixed",302,12736,2,23.71,0.16,1,4,NA,0.79,3.14,NA
"109","Plainfield","Mixed",894,15320,1,58.36,0.07,2,1,1,1.31,0.65,0.65
"110","Plainville","Urban",563,17767,6,31.69,0.34,2,2,1,1.13,1.13,0.56
"111","Plymouth","Mixed",609,12148,5,50.13,0.41,2,3,NA,1.65,2.47,NA
"112","Pomfret","Mixed",78,4219,0,18.49,0,NA,1,NA,NA,2.37,NA
"113","Portland","Mixed",208,9487,2,21.92,0.21,2,2,NA,2.11,2.11,NA
"114","Preston","Mixed",109,4751,0,22.94,0,NA,1,NA,NA,2.1,NA
"115","Prospect","Mixed",295,9520,0,30.99,0,1,3,NA,1.05,3.15,NA
"116","Putnam","Mixed",451,9548,4,47.24,0.42,2,NA,1,2.09,NA,1.05
"117","Redding","Mixed",71,9207,0,7.71,0,NA,1,1,NA,1.09,1.09
"118","Ridgefield","Mixed",204,24831,3,8.22,0.12,4,4,1,1.61,1.61,0.4
"119","Rocky Hill","Urban",329,19743,3,16.66,0.15,3,2,NA,1.52,1.01,NA
"120","Roxbury","Mixed",60,2301,0,26.08,0,NA,NA,NA,NA,NA,NA
"121","Salem","Mixed",145,4173,0,34.75,0,1,2,NA,2.4,4.79,NA
"122","Salisbury","Rural",86,3722,0,23.11,0,NA,1,NA,NA,2.69,NA
"123","Scotland","Rural",8,1739,0,4.6,0,NA,1,NA,NA,5.75,NA
"124","Seymour","Mixed",543,16535,3,32.84,0.18,2,5,NA,1.21,3.02,NA
"125","Sharon","Rural",197,2769,1,71.14,0.36,1,1,NA,3.61,3.61,NA
"126","Shelton","Urban",1264,40006,7,31.6,0.17,NA,8,1,NA,2,0.25
"127","Sherman","Mixed",45,3627,1,12.41,0.28,NA,2,NA,NA,5.51,NA
"128","Simsbury","Mixed",205,23591,3,8.69,0.13,2,5,1,0.85,2.12,0.42
"129","Somers","Mixed",192,11447,3,16.77,0.26,1,2,1,0.87,1.75,0.87
"130","South Windsor","Mixed",283,25756,4,10.99,0.16,1,4,1,0.39,1.55,0.39
"131","Southbury","Mixed",339,19864,1,17.07,0.05,3,5,1,1.51,2.52,0.5
"132","Southington","Mixed",1219,43288,10,28.16,0.23,7,6,1,1.62,1.39,0.23
"133","Sprague","Mixed",211,2986,1,70.66,0.33,NA,NA,NA,NA,NA,NA
"134","Stafford","Mixed",320,12035,2,26.59,0.17,3,1,1,2.49,0.83,0.83
"135","Stamford","Mixed",1627,123995,8,13.12,0.06,11,10,NA,0.89,0.81,NA
"136","Sterling","Rural",213,3801,1,56.04,0.26,NA,NA,NA,NA,NA,NA
"137","Stonington","Mixed",312,18527,3,16.84,0.16,3,3,1,1.62,1.62,0.54
"138","Stratford","Mixed",1526,51694,6,29.52,0.12,5,5,1,0.97,0.97,0.19
"139","Suffield","Mixed",132,15731,2,8.39,0.13,1,1,1,0.64,0.64,0.64
"140","Thomaston","Mixed",254,7831,1,32.44,0.13,1,1,1,1.28,1.28,1.28
"141","Thompson","Mixed",287,9411,0,30.5,0,NA,NA,NA,NA,NA,NA
"142","Tolland","Mixed",185,14977,2,12.35,0.13,NA,5,1,NA,3.34,0.67
"143","Torrington","Mixed",3011,36061,13,83.5,0.36,4,4,2,1.11,1.11,0.55
"144","Trumbull","Mixed",634,36251,6,17.49,0.17,3,5,1,0.83,1.38,0.28
"145","Union","Rural",0,1041,0,0,0,NA,1,NA,NA,9.61,NA
"146","Vernon","Mixed",708,29179,11,24.26,0.38,2,7,1,0.69,2.4,0.34
"147","Voluntown","Rural",84,2608,3,32.21,1.15,NA,2,NA,NA,7.67,NA
"148","Wallingford","Mixed",1261,45112,9,27.95,0.2,3,11,NA,0.67,2.44,NA
"149","Warren","Rural",42,1475,0,28.47,0,NA,NA,NA,NA,NA,NA
"150","Washington","Mixed",94,3562,1,26.39,0.28,1,1,NA,2.81,2.81,NA
"151","Waterbury","Urban",7733,110052,34,70.27,0.31,12,18,1,1.09,1.64,0.09
"152","Waterford","Mixed",628,19508,4,32.19,0.21,4,2,1,2.05,1.03,0.51
"153","Watertown","Mixed",784,22387,5,35.02,0.22,2,8,1,0.89,3.57,0.45
"154","West Hartford","Mixed",674,63340,6,10.64,0.09,6,18,NA,0.95,2.84,NA
"155","West Haven","Urban",2101,55349,17,37.96,0.31,6,16,NA,1.08,2.89,NA
"156","Westbrook","Mixed",174,6922,0,25.14,0,NA,1,1,NA,1.44,1.44
"157","Weston","Mixed",43,10261,0,4.19,0,1,1,NA,0.97,0.97,NA
"158","Westport","Mixed",173,26769,1,6.46,0.04,2,7,1,0.75,2.61,0.37
"159","Wethersfield","Urban",502,26590,2,18.88,0.08,2,6,NA,0.75,2.26,NA
"160","Willington","Mixed",123,6018,2,20.44,0.33,NA,NA,NA,NA,NA,NA
"161","Wilton","Mixed",89,18353,0,4.85,0,1,1,1,0.54,0.54,0.54
"162","Winchester","Mixed",719,11150,4,64.48,0.36,3,3,1,2.69,2.69,0.9
"163","Windham","Mixed",2838,25315,6,112.11,0.24,2,6,1,0.79,2.37,0.4
"164","Windsor","Mixed",428,29100,2,14.71,0.07,3,4,NA,1.03,1.37,NA
"165","Windsor Locks","Mixed",352,12531,2,28.09,0.16,1,NA,1,0.8,NA,0.8
"166","Wolcott","Mixed",618,16688,2,37.03,0.12,1,5,1,0.6,3,0.6
"167","Woodbridge","Mixed",96,8981,0,10.69,0,NA,4,NA,NA,4.45,NA
"168","Woodbury","Mixed",130,9910,0,13.12,0,1,5,NA,1.01,5.05,NA
"169","Woodstock","Mixed",107,7932,1,13.49,0.13,NA,3,NA,NA,3.78,NA
